index,result,time,clearMessage,weapon,aspect,keepsake,companion,trait (sub-traits),heatPoints,heat (sub-heat),trait 1 name,trait 1 level,trait 2 name,trait 2 level,trait 3 name,trait 3 level,trait 4 name,trait 4 level,trait 5 name,trait 5 level,trait 6 name,trait 6 level,trait 7 name,trait 7 level,trait 8 name,trait 8 level,trait 9 name,trait 9 level,trait 10 name,trait 10 level,trait 11 name,trait 11 level,trait 12 name,trait 12 level,trait 13 name,trait 13 level,trait 14 name,trait 14 level,trait 15 name,trait 15 level,trait 16 name,trait 16 level,trait 17 name,trait 17 level,trait 18 name,trait 18 level,trait 19 name,trait 19 level,trait 20 name,trait 20 level,trait 21 name,trait 21 level,trait 22 name,trait 22 level,trait 23 name,trait 23 level,trait 24 name,trait 24 level,trait 25 name,trait 25 level,trait 26 name,trait 26 level,trait 27 name,trait 27 level,trait 28 name,trait 28 level,trait 29 name,trait 29 level,trait 30 name,trait 30 level,trait 31 name,trait 31 level
1,RunHistoryScreenResult_Tartarus,05:18.35,,SwordWeapon,,,,AthenaWeaponTrait (Level 1),0,,AthenaWeaponTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RunHistoryScreenResult_Tartarus,03:13.12,,BowWeapon,,,,ZeusSecondaryTrait (Level 1),0,BackstabMetaUpgrade_ShortTotal (Level 10),ZeusSecondaryTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RunHistoryScreenResult_A_MiniBoss01,04:51.45,,SwordWeapon,,,,"SwordCriticalTrait (Level 1), RoomRewardMaxHealthTrait (Level 1), AphroditeRangedTrait (Level 2), UnusedWeaponBonusTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 10), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 1)",SwordCriticalTrait,Level 1,RoomRewardMaxHealthTrait,Level 1,AphroditeRangedTrait,Level 2,UnusedWeaponBonusTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RunHistoryScreenResult_A_Boss01,09:41.83,,SwordWeapon,,,,"RoomRewardMaxHealthTrait (Level 2), HealthRewardBonusTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 2), ZeusRangedTrait (Level 2), SwordThrustWaveTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 10), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2)",RoomRewardMaxHealthTrait,Level 2,HealthRewardBonusTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 2,ZeusRangedTrait,Level 2,SwordThrustWaveTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RunHistoryScreenResult_A_Boss01,10:26.37,,ShieldWeapon,,MaxHealthKeepsakeTrait,,"IncreasedDamageTrait (Level 2), MaxHealthKeepsakeTrait (Level 1), AphroditeRangedTrait (Level 1), TemporaryImprovedWeaponTrait (Level 1), ShieldChargeSpeedTrait (Level 1), TemporaryBoonRarityTrait (Level 1), TemporaryWeaponLifeOnKillTrait (Level 1), FountainDamageBonusTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 10), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1)",IncreasedDamageTrait,Level 2,MaxHealthKeepsakeTrait,Level 1,AphroditeRangedTrait,Level 1,TemporaryImprovedWeaponTrait,Level 1,ShieldChargeSpeedTrait,Level 1,TemporaryBoonRarityTrait,Level 1,TemporaryWeaponLifeOnKillTrait,Level 1,FountainDamageBonusTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RunHistoryScreenResult_A_Boss01,10:40.78,,ShieldWeapon,,MaxHealthKeepsakeTrait,,"ArtemisSecondaryTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), AthenaWeaponTrait (Level 2), DoorHealTrait (Level 1), TemporaryBackstabTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), PoseidonPickedUpMinorLootTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 20), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1)",ArtemisSecondaryTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,AthenaWeaponTrait,Level 2,DoorHealTrait,Level 1,TemporaryBackstabTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,PoseidonPickedUpMinorLootTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RunHistoryScreenResult_Asphodel,13:39.05,,SpearWeapon,,MaxHealthKeepsakeTrait,,"MaxHealthKeepsakeTrait (Level 1), RoomRewardMaxHealthTrait (Level 1), ArtemisRangedTrait (Level 1), AphroditeSecondaryTrait (Level 1), RushRallyTrait (Level 1), RushSpeedBoostTrait (Level 1), AresRushTrait (Level 2)",0,"BackstabMetaUpgrade_ShortTotal (Level 20), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1)",MaxHealthKeepsakeTrait,Level 1,RoomRewardMaxHealthTrait,Level 1,ArtemisRangedTrait,Level 1,AphroditeSecondaryTrait,Level 1,RushRallyTrait,Level 1,RushSpeedBoostTrait,Level 1,AresRushTrait,Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RunHistoryScreenResult_B_Boss01,17:59.15,,SpearWeapon,,MaxHealthKeepsakeTrait,,"HealthRewardBonusTrait (Level 1), AthenaWeaponTrait (Level 3), PoseidonShoutTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), BonusCollisionTrait (Level 2), AresRushTrait (Level 2), SpearReachAttack (Level 1), PoseidonSecondaryTrait (Level 1), TemporaryArmorDamageTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 20), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), StaminaMetaUpgrade_On (Level 1)",HealthRewardBonusTrait,Level 1,AthenaWeaponTrait,Level 3,PoseidonShoutTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,BonusCollisionTrait,Level 2,AresRushTrait,Level 2,SpearReachAttack,Level 1,PoseidonSecondaryTrait,Level 1,TemporaryArmorDamageTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RunHistoryScreenResult_B_Boss01,20:02.28,,SpearWeapon,,MaxHealthKeepsakeTrait,,"MaxHealthKeepsakeTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), RushSpeedBoostTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 2), ChaosBlessingBoonRarityTrait (Level 1), AresRushTrait (Level 3), SpearReachAttack (Level 1), AthenaShoutTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 30), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 2), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), StaminaMetaUpgrade_On (Level 1), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 20), AmmoMetaUpgrade_ShortTotalNoIcon (Level 2)",MaxHealthKeepsakeTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,RushSpeedBoostTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 2,ChaosBlessingBoonRarityTrait,Level 1,AresRushTrait,Level 3,SpearReachAttack,Level 1,AthenaShoutTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RunHistoryScreenResult_Asphodel,14:20.24,,SpearWeapon,,MaxHealthKeepsakeTrait,,"SpearThrowPenetrate (Level 1), HermesShoutDodge (Level 1), TemporaryBackstabTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), PoisonCritVulnerabilityTrait (Level 1), ArtemisRangedTrait (Level 1), DionysusWeaponTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), AphroditeShoutTrait (Level 1), ZeusSecondaryTrait (Level 2), DionysusSlowTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DoorHealMetaUpgrade_ShortTotalNoIcon (Level 3), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 1), StaminaMetaUpgrade_On (Level 1), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 20), AmmoMetaUpgrade_ShortTotalNoIcon (Level 2)",SpearThrowPenetrate,Level 1,HermesShoutDodge,Level 1,TemporaryBackstabTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,PoisonCritVulnerabilityTrait,Level 1,ArtemisRangedTrait,Level 1,DionysusWeaponTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,AphroditeShoutTrait,Level 1,ZeusSecondaryTrait,Level 2,DionysusSlowTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
